SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,DirecTV USA,?-22,,12530 L,tp 22,,Videoguard,,False,,6/7,20000,DSS200,
,DirecTV USA,?-23,,12545 R,tp 23,,Videoguard,,False,,6/7,20000,DSS200,
,DirecTV USA,?-24,,12559 L,tp 24,,Videoguard,,False,,2/3,20000,DVB-S2,
,DirecTV USA,?-25,,12574 R,tp 25,,Videoguard,,False,,6/7,20000,DSS200,
,DirecTV USA,?-26,,12588 L,tp 26,,Videoguard,,False,,6/7,20000,DSS200,
,DirecTV USA,?-27,,12603 R,tp 27,,Videoguard,,False,,6/7,20000,DSS200,
,DirecTV USA,?-28,,12618 L,tp 28,,Videoguard,,False,,6/7,20000,DSS200,
,DirecTV USA,?-29,,12632 R,tp 29,,Videoguard,,False,,6/7,20000,DSS200,
,DirecTV USA,?-30,,12647 L,tp 30,,Videoguard,,False,,6/7,20000,DSS200,
,DirecTV USA,?-31,,12661 R,tp 31,,Videoguard,,False,,6/7,20000,DSS200,
,DirecTV USA,?-32,,12676 L,tp 32,,Videoguard,,False,,6/7,20000,DSS200,
