Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
3734 Htp 2C1North America C,,,,,,,,,Alexrules11Eutelsat240202,,,,3734 H,tp 2C1,,,,False,
3735 Vtp 1C1North America C,,,,,,,,,Alexrules11Eutelsat240202,,,,3735 V,tp 1C1,,,,False,
3769 Htp 4C1North America C,,,,,,,,,Alexrules11Eutelsat240202,,,,3769 H,tp 4C1,,,,False,
3773 Htp 4C1North America C,,,,,,,,,Alexrules11Eutelsat240202,,,,3773 H,tp 4C1,,,,False,
3798 Htp 4C1North America C,,,,,,,,,Alexrules11Eutelsat240202,,,,3798 H,tp 4C1,,,,False,
3818 Htp 6C1North America C,,,,,,,,,Alexrules11Eutelsat240202,,,,3818 H,tp 6C1,,,,False,
3826 Vtp 7C1North America C,,,,,,,,,Alexrules11Eutelsat240202,,,,3826 V,tp 7C1,,,,False,
3830 Htp 6C1North America C,,,,,,,,,Alexrules11Eutelsat240202,,,,3830 H,tp 6C1,,,,False,
3832 Vtp 7C1North America C,,,,,,,,,Alexrules11Eutelsat240202,,,,3832 V,tp 7C1,,,,False,
3851 Vtp 7C1North America C,,,,,,,,,Alexrules11Eutelsat240202,,,,3851 V,tp 7C1,,,,False,
3867 Htp 8C1North America C,,,,,,,,,Alexrules11Eutelsat240202,,,,3867 H,tp 8C1,,,,False,
4078 Vtp 19C3Pan-America C,,,,,,,,,Alexrules11Eutelsat240202,,,,4078 V,tp 19C3,,,,False,
4096 Vtp 19C3Pan-America C,,,,,,,,,Alexrules11Eutelsat240202,,,,4096 V,tp 19C3,,,,False,
4120 Vtp 21C3Pan-America C,,,,,,,,,Alexrules11Eutelsat240202,,,,4120 V,tp 21C3,,,,False,
11984 Htp 15KPan-America Ku,,,,,,,,,C de Berazategui240105,,,,11984 H,tp 15K,,,,False,
12028 Htp 17KPan-America Ku,,,,,,,,,Alexrules11Eutelsat240202,,,,12028 H,tp 17K,,,,False,
12091 Vtp 20KPan-America Ku,,,,,,,,,Alexrules11Eutelsat240202,,,,12091 V,tp 20K,,,,False,
12126 Vtp 22KPan-America Ku,,,,,,,,,Alexrules11Eutelsat240202,,,,12126 V,tp 22K,,,,False,
12136 Vtp 22KPan-America Ku,,,,,,,,,Alexrules11Eutelsat240202,,,,12136 V,tp 22K,,,,False,
12151 Vtp 22KPan-America Ku,,,,,,,,,Alexrules11Eutelsat240202,,,,12151 V,tp 22K,,,,False,
12157 Vtp 22KPan-America Ku,,,,,,,,,Alexrules11Eutelsat240202,,,,12157 V,tp 22K,,,,False,
12165 Htp 23KPan-America Ku,,,,,,,,,Alexrules11Eutelsat240202,,,,12165 H,tp 23K,,,,False,
12165 Vtp 24KPan-America Ku,,,,,,,,,Alexrules11Eutelsat240202,,,,12165 V,tp 24K,,,,False,
12172 Vtp 24KPan-America Ku,,,,,,,,,Alexrules11Eutelsat240202,,,,12172 V,tp 24K,,,,False,
12193 Vtp 24KPan-America Ku,,,,,,,,,Alexrules11Eutelsat240202,,,,12193 V,tp 24K,,,,False,
